DataBARR,DataMISC,DataGIN,DAT_IDH
70.6999969482422,,,0.511
,,,0.796
0.00999999977648258,8.7,31.2,0.948
,,,0.868
48.5999984741211,,,0.581
,,,0.779
16.2000007629395,,,0.854
,,,0.749
14.6999998092651,23,46.3,0.845
9.30000019073486,7,29.7,0.777
,,,
,,,0.945
,8.1,29.6,0.922
,,,0.757
,,,0.815
,,,
47.2000007629395,,,0.632
,,,0.815
,,,0.852
33.2000007629395,9.3,28.3,0.824
,9.1,28.1,0.931
5,,,0.716
58.7999992370605,,,0.545
,,,
,,,
48.5,25.5,56.7,0.718
7.59999990463257,,,0.781
,,,0.735
16.2999992370605,23.6,55.6,0.766
,,,0.838
,15.8,35.7,0.817
57.0999984741211,,,0.452
47.7000007629395,2.9,33.4,0.433
,,,0.654
,,,0.665
45.0999984741211,,,0.594
33.7000007629395,,,0.563
0.00999999977648258,,,0.929
86.9000015258789,,,0.398
8.80000019073486,16.4,47.3,0.851
24.6000003814697,,,0.762
,6.6,31.1,0.887
27.7999992370605,,,0.768
68.4000015258789,,,0.554
47.7999992370605,,,0.574
77.5,,,0.48
,13,31.7,0.916
,,,
,,,0.538
3.90000009536743,19.2,49.3,0.811
60.0999984741211,,,
,,,0.851
6.59999990463257,,,0.784
,,,
0.00100000004749745,5.7,25.9,0.94
64.5,,,
,,,0.743
20.1000003814697,21,52.3,0.76
5.19999980926514,,,0.707
22.3999996185303,18.2,45.7,0.673
,,,0.89
,,,0.459
3.70000004768372,6,24.4,0.917
5.5,14,33.5,0.904
,,,0.708
,,,0.62
,,,
33.478228840617,,,
,18,41.4,0.926
,10.2,33.7,0.892
32.0999984741211,,,
64.3000030517578,,,0.485
,15.5,41,0.825
11.1999998092651,,,
42.9000015258789,17.1,47.2,0.718
,6.5,28,0.938
,,,0.744
,9.3,29.7,0.901
36.5999984741211,,,0.703
27.1000003814697,,,0.496
34.0999984741211,14.8,36.9,0.813
30.3999996185303,,,0.611
,,,
6,,,0.78
3,14.5,35.1,0.888
,,,
,,,
31,24.3,54.6,0.663
50.0999984741211,,,0.477
74.4000015258789,,,0.48
64.9000015258789,,,0.592
31.1000003814697,,,0.682
65.9000015258789,,,0.51
38.5999984741211,28.1,57.5,0.634
,,,0.949
,,,
13.6000003814697,9.6,28.3,0.854
35.2000007629395,,,0.645
30.6000003814697,,34.3,0.718
25.2999992370605,18.6,44.8,0.784
45.7000007629395,5.9,28.6,0.674
,9.5,32.7,0.955
,,,
,,,
,6.6,30.2,0.949
,,,
,,,
,,,
,,,0.704
,,,0.567
,,,
,,,
,,,
,22.2,41.6,0.919
,13.4,33.7,0.892
57.0999984741211,,,0.734
,,,0.919
23.3999996185303,8.6,33.9,0.729
,6.4,30.2,0.826
46.5,,,0.601
9.69999980926514,10.1,37.4,0.697
,14.1,37,0.63
,8.6,30.3,
,,,0.807
53.5999984741211,,,0.527
,11.1,35.6,0.866
61.0999984741211,,,0.745
70.3000030517578,,,0.48
,,,0.724
,,,0.919
,11.9,34.4,0.882
,10.4,30.9,0.916
8.30000019073486,,,0.775
61.2000007629395,,,0.528
,19,44.8,0.811
65.0999984741211,,,0.483
30.1000003814697,,,0.741
47.2000007629395,12.9,38.9,0.434
,9.6,28,0.895
,,,
9.19999980926514,11.9,40.7,0.686
,9.7,35.7,0.805
73.1999969482422,,,0.546
16,18.6,48.9,0.78
,,,
,,,
38.2999992370605,,,0.738
27.1000003814697,,,0.829
77.1999969482422,,,0.456
29.2361359901447,,,
56.0999984741211,,,0.583
42.2999992370605,,,0.646
,,,
49.2999992370605,,,0.602
42.2000007629395,,,0.66
58.7999992370605,,,0.394
53.9000015258789,,,0.539
0.00100000004749745,8,26.4,0.957
,,,
,,,0.931
,,,0.814
,7.8,30,0.945
40.0999984741211,,,0.557
,,,0.827
,,,
22.1000003814697,25.5,54.6,0.816
,,,0.555
17.1000003814697,21.7,53,0.728
,,,
33.0999984741211,24.2,50.3,0.778
,,,
0.00999999977648258,14,34.7,0.88
3.59999990463257,11.5,38.1,0.864
,,,
,,,0.848
,,,
,12.9,34.6,0.932
37.9000015258789,,,0.567
95.4000015258789,,,0.397
,7,26.7,0.9
59.2000007629395,12.9,35.4,0.751
21.1000003814697,,,0.613
14.8000001907349,20.7,52,0.757
,8.1,25.8,0.86
,10,34,
12.1000003814697,20.1,39.6,0.828
42.0999984741211,,,0.543
,,,
,,,0.715
,,,
,,,0.78
,,,
,,,0.739
11.1999998092651,,,0.76
85.6999969482422,,,0.625
29.5,,,0.512
3.59999990463257,,,0.807
,,,0.797
59.0999984741211,,,0.452
,,,0.938
,,,
72.0999984741211,,,
,9.2,39.7,0.783
,,,0.611
25.6000003814697,,,0.709
88.4000015258789,,,0.51
91.4000015258789,,,0.433
0.00100000004749745,7.3,26.4,0.946
,11.2,33.9,0.955
5.90000009536743,,,0.739
23.7000007629395,15,41.8,0.778
40.0999984741211,,,0.529
26,,,0.668
33.4000015258789,,,
,,,0.606
54.2999992370605,13.4,42.2,0.515
,,,0.725
5.40000009536743,,,0.797
8.19999980926514,,,0.741
,,,0.715
8.60000038146973,17.8,39.6,0.821
,,,
19,7.8,29.8,0.78
48.2999992370605,,,0.544
,19.4,45.9,0.818
52.2000007629395,,,0.72
,,,0.609
44.0999984741211,19.9,44.8,0.711
13.8000001907349,11.7,35.8,0.704
66.1999969482422,,,0.47
,,,0.524
54.5999984741211,22.2,54.6,0.584
33.5,,,0.571
